2020-09-08 13:13:47.473745
6210545971 6010546621 {'+': 278, '-': 335, ' ': 49, '?': 85} 0.08
6210545971 6210545459 {'+': 333, '-': 347, ' ': 37, '?': 84} 0.01
6210545971 6210545467 {'+': 344, '-': 344, ' ': 40, '?': 90} 0.04
6210545971 6210545475 {'+': 405, '-': 326, ' ': 58, '?': 137} 0.11
6210545971 6210545564 {'+': 414, '-': 336, ' ': 48, '?': 82} 0.09
6210545971 6210546013 {'+': 286, '-': 309, ' ': 75, '?': 175} 0.12
6210545971 6210546412 {'+': 266, '-': 335, ' ': 49, '?': 147} 0.08
6210545971 6210546439 {'+': 264, '-': 343, ' ': 41, '?': 112} 0.03
6210545971 6210546447 {'+': 313, '-': 339, ' ': 45, '?': 126} 0.04
6210545971 6210546455 {'+': 310, '-': 333, ' ': 51, '?': 150} 0.18
6210545971 6210546650 {'+': 356, '-': 350, ' ': 34, '?': 108} 0.02
6210545971 6210546706 {'+': 283, '-': 307, ' ': 77, '?': 168} 0.14
6210545971 6210545483 {'+': 384, '-': 331, ' ': 53, '?': 93} 0.07
6210545971 6210545491 {'+': 315, '-': 304, ' ': 80, '?': 134} 0.06
6210545971 6210546668 {'+': 296, '-': 340, ' ': 44, '?': 122} 0.02
6210545971 6210546374 {'+': 319, '-': 327, ' ': 57, '?': 135} 0.08
6210545971 6210545432 {'+': 262, '-': 313, ' ': 71, '?': 99} 0.15
6210545971 6110545996 {'+': 352, '-': 346, ' ': 38, '?': 143} 0.03
6210545971 6210545424 {'+': 337, '-': 363, ' ': 21, '?': 89} 0.03
6210545971 6210545556 {'+': 297, '-': 324, ' ': 60, '?': 147} 0.08
6210545971 6210546404 {'+': 328, '-': 312, ' ': 72, '?': 102} 0.09
6210545971 6210546421 {'+': 338, '-': 289, ' ': 95, '?': 160} 0.17
6210545971 6210546692 {'+': 321, '-': 322, ' ': 62, '?': 126} 0.13
6210545971 6110545601 {'+': 276, '-': 333, ' ': 51, '?': 100} 0.06
